titre,lien,date,université,tag,traduction auto,contenu
【思政网评】用冬奥精神育人，讲好时代大课,https://syw.ctgu.edu.cn/info/1041/43529.htm,2022-04-18,China Three Gorges University,Institution,"[Thinking Network Review] Use Dongao spirit to educate people, talk about the era",这是一届无与伦比的冬奥会，一届在温暖中永恒的冬残奥会，面对世界百年未有之大变局叠加来势汹汹的疫情，中国北京如期点燃的奥林匹克圣火给世界前路照亮了一束希望之光、团结之光、和平之光。“世界怎么了？我们怎么办？”中国用“中外互融，同舟共济，一起向未来”的实际行动回答了这一时代之问。在北京冬奥会、冬残奥会总结表彰大会上，习近平总书记提出北京冬奥精神，即“胸怀大局、自信开放、迎难而上、追求卓越、共创未来”，这是中国人民精神风貌的时代写照，也是中华民族开创未来的精神财富。冬奥会不仅呈现了世界瞩目的体育赛事，也为我们奉献了一堂育人的时代大课。 培育具有胸怀大局精神的时代新人。中国全力克服新冠肺炎疫情影响，以言必信、行必果的大国担当兑现对国际社会的庄严承诺，如期如约成功举办北京冬奥会、冬残奥会。一大批冬奥建设者、办赛人员、医疗防疫人员、志愿者和体育代表团以胸怀大局的精神勇敢担当起为国建功、为国争光的时代使命，奉献了一届精彩非凡卓越的冬奥会，充分展示了“中国为什么能”。国际奥委会主席巴赫盛赞：“这几乎就是奇迹！”“你们给了和平一个机会”。第七十六届联合国大会主席沙希德认为：“北京冬奥会展现了人类科技和科学的进步，展现了中国最好的一面、全人类最好的一面”……这些好声音传递给世界的是在各种问题复杂难解的当下，只有携起手来才是唯一正确的选择。 培育具有自信开放精神的时代新人。我们用深厚的传统文化娓娓道来一个真实、立体、全面的中国。从“同一个世界，同一个梦想”的内敛含蓄，到“一起向未来”的直抒胸臆，联合国秘书长古特雷斯以“杰出非凡、精彩神奇”高度评价北京冬奥会开幕式。从二十四节气、立春焰火，到“瑞雪祥云”“鸿运山水”“唐花飞雪”服饰，从五环破冰到世界名曲，从鸟巢化作星海到手语版国歌，古老文明与奥林匹克交相辉映，2022年北京冬奥会开幕式以温和的语气，号召不同民族不同国家不同肤色的人们团结起来“一起向未来”，这是对“更团结”的奥运精神的完美演绎，更是中国愿与世界共创未来的美好期盼与坚定决心。还有外国运动员的花式“朋友圈”“吃播”，把中华文化带到了全世界，诠释着新时代中国的从容姿态和中华文化雍容大度、开放包容的独特魅力。 培育具有追求卓越精神的时代新人。冬奥会展现了新时代中国自由奔涌的时代大潮，运动员们技术精湛，屡屡刷新记录，引得全球观众为他们的精彩表现和卓越能力欢呼，更为他们身上“更快、更高、更强——更团结”的奥林匹克精神所感动。谷爱凌说“我不是要打败别人，我是要展示最好的自己。”一鸣惊人的苏翊鸣，承诺“给奖牌换颜色”的高亭宇，亲吻冰面的范可新……他们在冰天雪地中掀起的“青春风暴”大家还历历在目，他们的故事永远都讲不完，永远给我们向上的力量。“生命以痛吻我，我却报之以歌。”冬残奥会注定是充满温情和感动的，几乎每个运动员都是一个坚强人生故事的持有者。视障主火炬手李瑞看不到光，却为我们点亮了夜空，这一别具匠心的安排背后是深深的启迪。李瑞原本是一名篮球运动员，18岁因意外失明，他却用不屈的灵魂来战胜不公的命运。透过这扇窗，我们看到了生活的厚度，感悟生命绽放的意义。 北京冬奥会冬残奥会“播”下的这堂时代大课，一如开幕式上飞散开来的蒲公英种子，将根植于亿万人民心间，积蓄开花结果的力量。 下一条：【三全育人】食堂生日餐上的“思政课” 有“知”又有“味” Copyright © 三峡大学索源网 版权所有 主管：三峡大学党委宣传部地址：湖北省宜昌市大学路8号　邮编：443002
【三全育人】食堂生日餐上的“思政课” 有“知”又有“味”,https://syw.ctgu.edu.cn/info/1041/43504.htm,2022-04-18,China Three Gorges University,Institution,"[Sanquan Educated] ""Thinking"" on the Birthday meal of Canteen has ""know"" and ""taste""",本网讯（通讯员 黄崇敬/文 师泽帅/图）“我是一个来自贫困山区的学生，是国家资助金一直支持我读书。今天既是我的出生日，还是我入党的日子，感谢学校的培养，我一定更加奋发图强，砥砺前行。”计算机与信息学院王佳豪同学动情地说。 4月14日中午，欣苑餐厅2楼传来生日快乐歌，这是计算机与信息学院开展“三全育人”特色实践活动暨后勤集团首次集体生日关爱餐活动的现场，也是计算机与信息学院持续打造“三全育人”工作机制的创新载体，展现学院“师生共育，计信同心”精神，让思政育人更有“烟火味”。 学生处、后勤集团、计算机与信息学院负责人及老师10余人共同为4月过生日的学生代表庆生日、送祝福。 树品牌，立学习之风，让思政育人更具“烟火味” “树立青年学习汇品牌，是我们学院打造思政育人创新阵地的一大举措，在餐厅开展思政育人活动丰富了实践育人的内涵，使思政课堂更有‘烟火味’。”计算机与信息学院院长陈鹏在送上生日祝福时说到。他希望同学们珍惜青春年华，树立自主学习意识，努力学习专业知识，期待同学们学业有成，报效祖国，服务社会，回馈母校，感恩父母。 后勤集团党委书记王国芳代表后勤集团向同学们送上生日祝福。他表示，计算机与信息学院和后勤集团通过共同打造欣苑学生青年学习汇阵地，为同学们提供更好的学习环境和空间，同时也将持续改进相关服务，助力同学们成长成才。 “为贫困学生过集体生日，传递学校对他们的关心关爱，不仅让学生品尝了‘饭菜香’，更体现学校落实立德树人的‘思政味儿’。”学生工作处处长崔伟对本次活动给予了充分肯定。 促行动，怀感恩之心，让青年学生更有“爱国心” “我一直非常感谢‘荣誉寝室长’王炎廷校长和辅导员丁老师对我持续的关心和帮助，使我能够收到西南大学的录取通知书，这也是我收到的最好的生日礼物。”学生代表王佳豪如是说。 学生代表杨佩瑶同学的生日愿望是能更好地提升自身党员服务意识，牢记入党初心，投入到专业学习中，毕业后更好地报效祖国、服务社会。 “学校真正在为学生考虑考研等情况，学校对我们学生的服务是真正的贴心和温暖。”来自2019级本科生杨金永康在师生共同就餐环节说到。 崔伟等相关老师详细询问了同学们日常生活情况、专业学习情况、考研就业情况等，崔伟还就学校考研政策现场收集了学生的建议。 据悉，这次集体生日会是计算机与信息学院持续推动“三全育人”特色实践活动的重要探索，通过新生成人礼、集体过生日等特殊形式，提升思政育人“鲜活度”，让学生在有“知”有“味”的思政课中学起来、悟起来，将爱国爱党教育、爱校荣校教育、感恩教育融入学生日常生活中，有力提高学生的幸福感、获得感和认同感。   上一条：【思政网评】用冬奥精神育人，讲好时代大课 下一条：省发改委教育厅调研组来校调研“十四五”教育强国推进工程项目情况 Copyright © 三峡大学索源网 版权所有 主管：三峡大学党委宣传部地址：湖北省宜昌市大学路8号　邮编：443002
省发改委教育厅调研组来校调研“十四五”教育强国推进工程项目情况,https://syw.ctgu.edu.cn/info/1041/43499.htm,2022-04-17,China Three Gorges University,Institution,"Provincial Development and Reform Commission's research team to investigate the ""14th Five-Year Plan"" education strong country promotion project",本网讯（通讯员 徐理）4月13日，省发改委社会发展处副处长李建、省教育厅发展规划处四级调研员许彬一行到校就三峡大学“十四五”教育强国推进工程开展专题调研，并召开座谈会。学校党委副书记田斌陪同调研。 座谈时，学校校园规划与建设处负责人介绍了教育强国推进工程“土木工程与地质灾害综合楼”项目的前期推进情况，土木与建筑学院负责人介绍了学科发展情况，并汇报项目建设背景、意义及需求，中南建筑设计院股份有限公司汇报了项目意向方案。 李建指出，“土木工程与地质灾害综合楼”是国家“十四五”教育强国推进工程项目之一，省发改委将在专项资金上给予学校积极支持，希望学校把握机遇，严格按照校园建设相关法律法规，做好项目前期可行性研究方案和论证布局，为土木与建筑学院师生打造与学科地位相匹配的办公学习条件。 田斌表示，学校将进一步提高政治站位，依法依规加快实施“十四五”教育强国推进工程，努力承担起强国教育责任，将本项目建设成为国内较有影响力的土木工程、地质资源与地质工程学科人才培养基地和科技创新基地。   上一条：【三全育人】食堂生日餐上的“思政课” 有“知”又有“味” 下一条：宜昌市副市长张琼走访调研附属仁和医院 Copyright © 三峡大学索源网 版权所有 主管：三峡大学党委宣传部地址：湖北省宜昌市大学路8号　邮编：443002
宜昌市副市长张琼走访调研附属仁和医院,https://syw.ctgu.edu.cn/info/1041/43496.htm,2022-04-17,China Three Gorges University,Institution,"Zhang Qiong, deputy mayor of Yichang City, took visit to the surrounding Renhe Hospital",    本网讯（通讯员 张薇）4月14日下午，宜昌市副市长张琼一行走访调研仁和医院。副校长、医学部部长黄悦华陪同调研。 会上，附属仁和医院负责人介绍了医院基本情况。 张琼对医院疫情防控中做出的贡献和取得的成绩给予充分肯定，对医院未来的建设与发展提出了明确要求。她希望仁和医院抢抓机遇，突破瓶颈，紧紧依托大学直属附属医院优势，谋求深度合作，打造科研教学示范高地。 黄悦华代表学校感谢宜昌市政府长期以来对医学教育事业的大力支持，要求医院对照市政府相关要求迅速抓好落实，并以此为契机，深入开展思想破冰，引领医院高质量发展。 宜昌市民政局、财政局，三峡大学医学部、仁和医院相关负责人参加了调研活动。 上一条：省发改委教育厅调研组来校调研“十四五”教育强国推进工程项目情况 下一条：【三全育人】生物与制药学院全国样板党支部开展“党建+课程思政”主题活动 Copyright © 三峡大学索源网 版权所有 主管：三峡大学党委宣传部地址：湖北省宜昌市大学路8号　邮编：443002
【三全育人】生物与制药学院全国样板党支部开展“党建+课程思政”主题活动,https://syw.ctgu.edu.cn/info/1041/43493.htm,2022-04-17,China Three Gorges University,Institution,"[Sanquan Education] The National Model Party Branch of Biology and Pharmaceuticals launched the ""Party Building + Course Thinking""",本网讯（通讯员 郭金玲 翟小红）4月14日下午，全国党建工作样板党支部——三峡大学生物工程试点学科师生联合党支部开展“党建+课程思政”主题活动。副校长黄悦华出席会议。生物与制药学院领导班子、各支部书记，学院青年教师，生物工程试点学科师生联合党支部全体成员参加了本次活动。  会上，组织部副部长赵静宣读了《教育部办公厅关于公布第三批全国党建工作示范高校、标杆院系、样板支部培育创建单位名单的通知》和第三批“全国党建工作样板党支部”培育创建单位名单。  黄悦华在讲话时指出，学校非常重视课程思政相关工作，强力推进课程思政“334工程”。生物与制药学院在学校率先成立课程思政教学研究分中心，希望能将该中心打造成高水平的示范中心，发挥示范引领作用；希望生物与制药学院以全国党建样板党支部创建为契机，实行“党建+课程思政”育人模式，全面推行全员、全程、全方位育人，形成“党建+课程思政”育人经验并进行推广。他强调，样板党支部的创建工作要谋划创新，开拓思路，实现与人才培养、科学研究、社会服务、文化传承与创新等工作的有效结合，促进党建工作和中心工作深度融合。  湖北名师周宜红教授应邀作了“专业课程思政建设探索与实践”主题报告。他总结了新时代课程思政的内涵、特点与难点，提出专业课程思政建设途径探索的方法。他认为，要深入发掘专业课程的思政元素，改进教学手段及方法，进而达到立德树人的根本任务。  学院课程思政教学研究分中心主任刘士平教授作了“面向生物医药学科的课程思政设计”主题报告，强调大学的核心工作是人才培养，人才培养的中心是立德树人。抓好课程思政建设，构建全员、全程、全方位育人大格局是培养担当民族复兴大任时代新人的关键举措。  随后，样板党支部开展了主题党日活动。支部书记龚大春教授讲了题为《学习习总书记系列讲话精神，全面推进高校课程思政建设》的专题党课。他总结了课程思政教学的提出及工作目标，并以真实案例讲解如何实施课程思政。  会上，支部党员围绕本次活动主题展开讨论和交流。生物与制药学院院长杨昌英表示，在下一步的工作中，生物与制药学院将不断强化党建引领，加强基层党支部规范化建设，积极探索“党建+课程思政”等新机制，将教学、科研、党建工作有机融合，全力做好全国样板党支部创建工作。 上一条：宜昌市副市长张琼走访调研附属仁和医院 下一条：维护国家安全 共筑平安校园 Copyright © 三峡大学索源网 版权所有 主管：三峡大学党委宣传部地址：湖北省宜昌市大学路8号　邮编：443002
维护国家安全 共筑平安校园,https://syw.ctgu.edu.cn/info/1041/43490.htm,2022-04-15,China Three Gorges University,Institution,Maintain national security to build a safe campus,      本网讯（通讯员 苏春）为深入贯彻落实总体国家安全观，增强全校师生的国家安全意识，感悟新时代国家安全成就，为迎接党的二十大胜利召开营造良好氛围，4月14日下午，三峡大学2022年“维护国家安全 共筑平安校园”主题演讲比赛决赛在电学科学楼学术报告厅举行。宜昌市国家安全局、宜昌市西陵区区委、宜昌市公安局西陵区分局及三峡大保卫处、学生处等相关部门负责人参与本次活动。 经过前期初赛复选，来自11个学院的16名选手脱颖而出，进入决赛。比赛中，16位参赛选手紧紧围绕总体国家安全观的核心要义和丰富内涵，结合自身学习生活实际，从国防安全、社会安全、文化安全、校园安全等多个领域，以独特的视角、真挚的情感，抒发对维护国家安全重大意义的理解和感悟；他们以身边人、身边事为例，用一段段激情澎湃的演讲讲述属于大学生新时代国家安全的故事，赢得了现场嘉宾与观众的阵阵掌声。大家深刻认识到，作为当代大学生，不仅是未来社会主义现代化的建设者，更是维护国家安全的守护者。 经过激烈角逐，来自文学与传媒学院的胡晨昱、土木与建筑学院的徐嗣喆获得一等奖；民族学院韦佳成、文学与传媒学院吴奇阳、医学院刘思源获得二等奖；外国语学院彭娅倩、凌洁，经济与管理学院欧阳佳湘、李佳石，科技学院李自豪获得三等奖。 历年来，三峡大学十分重视国家安全宣传教育工作，每年在“4．15”全民国家安全教育日来临之际，学校都会举办形式多样、内容丰富的国家安全教育日宣传系列活动。今年也如期开展了“开学第一课”安全教育活动，深入进行国家安全宣传教育；搭建宣传“微”平台，制作多期微宣传片进行宣传，达到“微”宣传全覆盖；邀请西陵区国家安全宣讲员在学生群体中进行专题宣讲教育，进一步地提高大学生的政治觉悟和警惕性。通过系列活动的开展，广大师生进一步认清国家安全形势，深入理解中华民族命运与国家安全的关系，凝聚起全民维护国家安全的强大共识，提高师生维护国家安全的坚定性和自觉性，起到良好的宣传教育效果。 上一条：【三全育人】生物与制药学院全国样板党支部开展“党建+课程思政”主题活动 下一条：校长王炎廷出席湖北省部省高校共建新文科“社会治理法学”专业启动会 Copyright © 三峡大学索源网 版权所有 主管：三峡大学党委宣传部地址：湖北省宜昌市大学路8号　邮编：443002
校长王炎廷出席湖北省部省高校共建新文科“社会治理法学”专业启动会,https://syw.ctgu.edu.cn/info/1041/43486.htm,2022-04-15,China Three Gorges University,Institution,"Principal Wang Yu Ting attended the University of Hubei Provincial Provincial Universities to build a new liberal art ""Social Governance Law"" professional start",本网讯（通讯员 梁小龙）4月14日上午，湖北省部省高校（1+6）共建新文科“社会治理法学”专业启动会在武汉召开，湖北省人民政府党组成员、副省长肖菊华及省政府办公厅、省发改委、省财政厅、省教育厅相关负责同志出席会议，校长王炎廷应邀参加会议。会议由省教育厅厅长陶宏主持。  部省高校共建新文科“社会治理法学”专业由中南财经政法大学牵头倡议，湖北大学、武汉科技大学、三峡大学、长江大学、江汉大学、黄冈师范学院6所省属高校协同合作，省委省政府大力支持，教育厅、发改委和财政厅共同参与。 在启动会上，参会7所高校的主要负责同志及省发改委、省财政厅负责同志分别发言。王炎廷从2021版法学人才培养方案修订、设立“社会治理法学”目录外二级硕士点、“社会治理法学”学科平台建设与师资培养、人才培养基地建设等四个方面汇报了学校在“社会治理法学”专业建设中的举措，并就今后如何进一步整合法学、公共管理等学科资源打造新文科，主动服务国家和区域发展战略，加强该专业建设提出了相应的具体措施。 肖菊华充分肯定了7所高校前期为推进“社会治理法学”专业建设取得的成效，认为部省高校共建新文科“社会治理法学”专业既是中南财经政法大学和省内6所院校的共襄之举，也是湖北省高等教育建设的创新之策，并就共建新文科“社会治理法学”专业提出要求，一是明确部省共建新文科“社会治理法学”专业的重要性和必要性，即明确中央部署的意义、社会对社会治理法学专业的刚需、社会治理法学在学科建设规律中的位置和社会治理法学的共建基础。二是明确目标，共同建好新文科“社会治理法学”。从进一步凝练学科的发展方向，完善协同育人体系，积极开展科研服务三个方面做好新文科建设的探索工作。三是协同创新，确保共建新文科“社会治理法学”专业取得实效。。 会上举行了部省高校共建新文科“社会治理法学”专业签约仪式。 教务处、法学与公共管理学院负责人参加了会议。 上一条：维护国家安全 共筑平安校园 下一条：三峡大学附属监利医院正式签约揭牌 Copyright © 三峡大学索源网 版权所有 主管：三峡大学党委宣传部地址：湖北省宜昌市大学路8号　邮编：443002
三峡大学附属监利医院正式签约揭牌,https://syw.ctgu.edu.cn/info/1041/43482.htm,2022-04-13,China Three Gorges University,Institution,The Three Gorges University Affiliated Jianli Hospital officially signed unveiled,本网讯（通讯员 李昌旭/文 邬昊洋/图）4月11日，三峡大学附属监利医院签约揭牌仪式在监利市举行。荆州市副市长、监利市委书记韩旭，监利市委常委、副市长李炜，三峡大学校长王炎廷、副校长黄悦华等出席签约揭牌仪式。仪式由监利市副市长吕梁彬主持。  仪式上，王炎廷、韩旭共同为三峡大学附属监利医院揭牌。  三峡大学医学部副部长黄晓飞、监利市人民医院院长邓志波代表校院双方签署合作协议。 王炎廷表示，三峡大学附属监利医院签约揭牌既是贯彻落实党中央、国务院深化医教协同、全面提升高等院校和医疗单位社会服务能力的重大举措，同时也是促进监利市经济社会发展、加快市人民医院转型升级的重要机遇，对于提升区域医疗卫生服务整体水平具有十分重要的意义。大学有人才智库、科技创新、社会服务等优势，要进一步精准对接监利市行业产业需求，帮助监利市提高科技创新能力并增强经济社会发展核心竞争力。 王炎廷强调，校地双方要按照合作协议内容抓好落实，以务实有效的举措助推监利市高质量发展和三峡大学“双一流”建设。 韩旭在座谈中充分肯定了三峡大学的教学科研实力，并代表监利市委市政府对三峡大学表示感谢。他指出，监利市人民医院成为三峡大学的附属医院，是人民医院全面开启建设标准化三级甲等医院的新起点，也是推进落实校地双方于今年1月签订的战略合作协议成果，标志着三峡大学与监利市全方位合作正式拉开序幕。监利市与三峡大学紧密合作携手共进，力争让三峡大学成为监利市高质量发展的“人才库”“科技源”，让监利市成为三峡大学引才育才的“新热土”。 监利市人民医院党委书记严洪波和卫健局党组书记、局长鄢来平分别介绍了监利人民医院建设情况、监利市“十四五”医疗卫生事业发展规划。 黄悦华指出，协议的签订标志着监利市人民医院正式加入三峡大学医学教育体系，成为三峡大学医学教育大家庭中的一员。学校将进一步创新体制机制，深入做好医教协同，积极帮助医院快速实现从诊疗型医院向教学科研型医院的转变，助力医院高质量发展，更好地服务监利市人民群众。  仪式结束后，三峡大学分析测试中心主任杨学林教授受邀作了专题报告，结合监利市已有产业提出了合理化发展建议。 为进一步加强校企合作，落实学校服务“宜荆荆恩”城市群战略，学校部分专家教授还前往监利市经济开发区实地调研，走访了湖北南桂铝业有限公司、湖北富世华电子科技有限公司、湖北应鑫铝业有限公司、越盛水产等监利市本土企业，为企业破解关键技术难题出谋划策，并在产业布局、人才资源共享、新材料研发、水质监测技术、专利申报及转化、生产线自动化设备改进等六个方面初步达成校企合作意向。  党委（校长）办公室、科学技术处、社会服务办公室、材料与化工学院、电气与新能源学院、医学部、分析测试中心等单位负责人参加了签约揭牌活动。 上一条：校长王炎廷出席湖北省部省高校共建新文科“社会治理法学”专业启动会 下一条：【抓落实谈担当】国际文化交流学院：强化“三四三” 做好学校国际教育思想文化工作 Copyright © 三峡大学索源网 版权所有 主管：三峡大学党委宣传部地址：湖北省宜昌市大学路8号　邮编：443002
【抓落实谈担当】国际文化交流学院：强化“三四三” 做好学校国际教育思想文化工作,https://syw.ctgu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1041&wbnewsid=43457,2022-04-13,China Three Gorges University,Institution,"[Cut on the implementation] International Cultural Exchange Academy: Strengthen the ""Three or Third and Three Three Three"" to do a good job in school international education ideological culture",[]
学校研究部署2022年校园综合治理重点工作,https://syw.ctgu.edu.cn/info/1041/43478.htm,2022-04-13,China Three Gorges University,Institution,School research deployment 2022 campus comprehensive management key work, 本网讯（通讯员 李徳朝）4月12日下午，学校在行政楼二楼会议室召开综合治理委员会全体会议，部署2022年度校园综合治理重点工作。党委常委张锐出席会议。 会议传达学习了省、市有关校园及周边治安综合治理、维护学校安全稳定工作会议精神，对2021年学校综治工作开展情况进行了回顾总结，针对校园交通安全管理、安全机制制度建设、综合治理能力提升等事项以及新形势下如何应对各类安全风险、有效防范安全事故发生进行了研究探讨，对当前重点工作进行了部署。 张锐在讲话中对过去一年学校综合治理工作取得的成效给予了充分肯定。他同时强调，各单位要牢固树立安全稳定工作红线意识、责任意识，密切配合，形成群防群治工作局面；要逐步完善安全硬件基础，有效推进平安校园“七防工程”建设；要抓早抓小，全力防范和排除风险隐患，为学校教育事业发展营造良好安全环境。 会议还评选了2021年度综治工作先进集体和先进个人。 上一条：【抓落实谈担当】国际文化交流学院：强化“三四三” 做好学校国际教育思想文化工作 下一条：校领导带队调研湖北昌耀新材 推动磷石膏综合利用“产学研”合作 Copyright © 三峡大学索源网 版权所有 主管：三峡大学党委宣传部地址：湖北省宜昌市大学路8号　邮编：443002
