titre,lien,date,université,tag,traduction auto,contenu
土木工程与建筑学院召开2021年度中层党员领导干部党史学习教育专题民主生活会,http://news.wit.edu.cn/info/1039/48683.htm,2022-04-21 00:00:00,Wuhan Institute of Technology,Institution,Civil Engineering and Architectural College held 2021 middle-level party members leading cadres and party history learning education topic democracy,本网讯（通讯员 项勤）4月21日上午，土木工程与建筑学院在武昌校区学院213会议室召开2021年度中层党员领导干部党史学习教育专题民主生活会。学校党史学习教育第六指导督查组组长、副校长张彦铎带队指导。会议由学院党委书记陆新主持，领导班子全体成员参加会议。
国际处获邀参加新青年全球胜任力人才培养项目暨“新青年班”开班仪式,http://news.wit.edu.cn/info/1039/48680.htm,2022-04-21 00:00:00,Wuhan Institute of Technology,Institution,"The international office was invited to participate in new youths worldwide competent talent training project and ""new youth class"" opening ceremony",本网讯（通讯员 凌晨）4月15日上午，学校国际交流与合作处受邀通过网络视频参加由中国教育国际交流协会主办的“新青年全球胜任力人才培养项目”暨“新青年班”开班仪式。
方文海到计算机科学与工程学院、人工智能学院调研指导工作,http://news.wit.edu.cn/info/1039/48679.htm,2022-04-21 00:00:00,Wuhan Institute of Technology,Institution,"Fang Wenhai to Computer Science and Engineering, Department of Artificial Intelligence",本网讯（通讯员 熊凡）4月19日下午，校纪委书记方文海到计算机科学与工程学院、人工智能学院调研指导工作，党政办副主任肖平陪同参加，学院全体领导班子成员参加调研。
扎实开展“访企拓岗”，全力稳就业,http://news.wit.edu.cn/info/1039/48674.htm,2022-04-20 00:00:00,Wuhan Institute of Technology,Institution,"Solidly carry out ""visiting enterprises"", fully stable employment",本网讯（通讯员 马瑜）4月19日上午，2022届毕业生就业工作推进会在流芳校区第二会议室召开，分析就业形势、传达上级文件精神，部署推进2022届毕业生就业工作。校党委书记程幼金主持会议，副校长喻发全出席会议。
学校召开大学章程修订征求意见会,http://news.wit.edu.cn/info/1039/48672.htm,2022-04-19 00:00:00,Wuhan Institute of Technology,Institution,School held a university charter revision,本网讯（通讯员 汪媛）4月19日下午，学校在第三会议室召开《武汉工程大学章程》修订征求意见会，会议由校党委常委、副校长张彦铎主持，相关职能部门主要负责人出席会议。
我校民盟委员会反映社情民意信息工作受到上级组织表彰,http://news.wit.edu.cn/info/1039/48670.htm,2022-04-19 00:00:00,Wuhan Institute of Technology,Institution,Our Ministry of China reflects the information of the social situation and public opinion.,本网讯（通讯员 王敏）近日，民盟湖北省委2022年参政议政工作会议在湖北省民主党派大楼举行。会上，民盟湖北省委会副主委黄利鸣宣读大会各项表彰决定。民盟武汉工程大学委员会获得“2017-2022年度反映社情民意信息工作突出贡献单位”荣誉称号。艺术设计学院副教授陈波荣获“2017-2022年度反映社情民意信息工作突出贡献个人” 。
校长王存文一行深入化药学院调研指导,http://news.wit.edu.cn/info/1039/48669.htm,2022-04-19 00:00:00,Wuhan Institute of Technology,Institution,Principal Wang Cunwen and his party In -depth Research and Guidance of the School of Pharmaceutical,本网讯（通讯员 李哲伦）4月15日下午，校长王存文带领相关部门来到化工与制药学院，就学院学科建设、科研团队与平台建设、工程教育专业认证、师资队伍建设、管理制度建设、发展规划等工作开展主题调研。校党委常委、组织部部长马小龙，校党委常委、科学技术发展院院长吴云韬，校党政办公室、研究生院、教务处相关负责人一同调研。
我校学者参政议政成果获民进湖北省委会表彰,http://news.wit.edu.cn/info/1039/48664.htm,2022-04-18 00:00:00,Wuhan Institute of Technology,Institution,Our school scholars participate in politics and governments have been commended by the Minjin Hubei Provincial Committee.,本网讯（通讯员 王敏）近日，民进湖北省委会发布了《关于表彰2021年参政议政成果的决定》，其中，民进武汉工程大学支部黄万华教授的《关于加快建立大江大河流域单元河长制的政策建议》成果获“2021年民进湖北省委会十佳社情民意信息”。
我校教师参加湖北省侨联十一届二次全委会议,http://news.wit.edu.cn/info/1039/48663.htm,2022-04-18 00:00:00,Wuhan Institute of Technology,Institution,Our teachers participate in the Second Committee of the 11th National Federation of Hubei Province,本网讯（通讯员 杜蔚明）4月14日，省侨联十一届二次全委会议在东湖宾馆召开，省委常委、统战部部长尔肯江·吐拉洪出席会议并讲话。我校侨联主席杜蔚明参加会议并作经验交流。
学校开展后勤系统疫情防控和安全生产工作大检查,http://news.wit.edu.cn/info/1039/48662.htm,2022-04-18 00:00:00,Wuhan Institute of Technology,Institution,Schools to conduct logistics system epidemic prevention and control and safety production,本网讯（通讯员 郑新霞）4月16日上午，校党委常委、组织部部长马小龙带领党政办公室、工大资产经营管理有限公司相关负责人，深入两校区快递服务中心、超市、打印店、理发店、蛋糕店等经营服务场所和施工工地进行了实地调研和指导。
学校举行第154期“微特讲坛”,http://news.wit.edu.cn/info/1039/48660.htm,2022-04-18 00:00:00,Wuhan Institute of Technology,Institution,"The 154th ""micro special forum"" held in the school",本网讯（通讯员 李琪娜）4月15日下午，武汉工程大学154期微特讲坛在计算机大楼图灵报告厅举行。马克思主义学院院长曹胜亮教授做客讲坛，为大家带来题为《两会观察——直面困难迎挑战共克时艰向未来》的主题讲座。
法商学院师生在国际知名期刊发表论文,http://news.wit.edu.cn/info/1039/48656.htm,2022-04-16 00:00:00,Wuhan Institute of Technology,Institution,Teachers and students of the French Institute published papers in internationally renowned journals,本网讯（通讯员 尤喆）近日，我校资源环境与经济高质量协同发展研究中心成员、法商学院尤喆老师以第一作者身份、龚梦琪副教授以通讯作者身份，以武汉工程大学为第一单位在国际知名期刊《Frontiers in Ecology And Evolution》发表“The impact of the Grain for Green Program on farmers' well-being and its mechanism --Empirical analysis based on CLDS data ”论文。合作者吴桐、镇诗祺分别为法商学院18级经济学专业和19级经济学（CFA方向）专业本科生。
学校召开巡视反馈意见面上问题整改工作推进会,http://news.wit.edu.cn/info/1039/48649.htm,2022-04-14 00:00:00,Wuhan Institute of Technology,Institution,School held an inspection feedback on the problem of rectification work promotion,本网讯（通讯员 孙珺）4月13日下午，学校在第二会议室召开巡视反馈意见面上问题整改工作推进会，校党委书记程幼金出席并主持会议。校党委副书记郑丹凤，校纪委书记方文海，党委常委、组织部部长马小龙，党委常委、宣传部部长韩高军出席会议。
学校召开四月份学团工作例会,http://news.wit.edu.cn/info/1039/48644.htm,2022-04-14 00:00:00,Wuhan Institute of Technology,Institution,The school held a working example of April.,本网讯（通讯员 李琪娜）4月13日下午，学校在西北区1号楼108会议室召开了学团工作例会，校党委副书记李志旭出席会议，会议由党委学工部、武装部部长吕容涛主持。 
