titre,lien,date,université,tag,traduction auto,contenu
我校举行2022年“五四”表彰大会,http://news.yangtzeu.edu.cn/info/1002/30618.htm,2022-04-29,Yangtze University,Institution,"Our school held the ""May 4th"" commendation conference in 2022",新闻网讯（学生记者 陈娇/文 石环宇/摄）弘扬“五四”精神，凝聚青年力量。喜迎二十大，永远跟党走，建功“双一流”。4月28日下午，学校在大礼堂举行2022年“五四”表彰大会。共青团荆州市委书记瞿俊森、副书记谭亮魁，校领导王建平、冯征、杜国锋、周从标、周思柱、刘靖君、李应军、江万哲，机关及直属单位负责人，各学院党委书记、副书记、团委书记，获奖代表，团学组织学生代表，团支部书记代表，团员代表参加会议。武汉校区师生通过视频直播同步参加会议。
发挥人才优势 促进科技创新  学校召开2022年度人才与科技创新大会,http://news.yangtzeu.edu.cn/info/1002/30555.htm,2022-04-22,Yangtze University,Institution,Give full play to the advantages of talent to promote the scientific and technological innovation school to hold the 2022 Talent and Scientific and Technological Innovation Conference,新闻网讯（记者 晏亮/文 刘健 张晨露/摄）4月21日下午，学校在12教405报告厅召开2022年度人才与科技创新大会，回顾过去一年的人才与科技工作，表彰2021年科技创新优秀团队个人，明确新一年度的人才与科技工作任务。全体在校校领导，二、三级教授，省级及以上人才计划入选者代表，直属附属医院领导及医务工作者代表，机关及直（附）属单位、学院、科研机构负责人及教师代表参加会议。武汉校区设视频分会场。
长江大学位列2022软科中国大学排名第174位,http://news.yangtzeu.edu.cn/info/1002/30528.htm,2022-04-19,Yangtze University,Institution,Yangtze University ranks 174th in 2022 Soft Science and Technology Chinese University,新闻网讯（通讯员 陈磊）4月19日，高等教育评价专业机构软科正式发布《2022软科中国大学排名》，我校位列第174位，比2021年进位16名。这是该机构自2015年首次发布以来，连续发布软科中国大学排名，排名对象是中国1000多所本科层次的高校。
长江大学两位教授入选2021“中国高被引学者”,http://news.yangtzeu.edu.cn/info/1002/30502.htm,2022-04-15,Yangtze University,Institution,"Two professors from Changjiang University were selected as 2021 ""China High Casters Scholar""",新闻网讯（通讯员 向云彬）4月14日，全球信息分析公司爱思唯尔（Elsevier）发布2021“中国高被引学者”榜单，我校吴强盛、顾永安两位教授分别在作物学学科、石油与天然气工程学科上榜，入选爱思唯尔中国高被引学者。
杨文星教授科研团队发明获2022年度日内瓦国际发明展银奖,http://news.yangtzeu.edu.cn/info/1002/30492.htm,2022-04-13,Yangtze University,Institution,Professor Yang Wenxing's scientific research team invented in the 2022 Geneva International Invention Exhibition Silver Award,新闻网讯 近日，2022年日内瓦国际发明展对外公布获奖名单，长江大学物理与光电工程学院杨文星教授领衔的参展作品“高层建筑密集母线温度场云智能监测及预警系统”（Cloud intelligent monitoring and early warning system for intensive bus temperature field of high-rise buildings）斩获银奖。
突破！长江大学斩获全国“挑战杯”特等奖,http://news.yangtzeu.edu.cn/info/1002/30412.htm,2022-03-30,Yangtze University,Institution,"breakthrough! Changjiang University won the National ""Challenge Cup"" special award",新闻网讯（通讯员 信晓阳）3月29日，由共青团中央、教育部、人力资源和社会保障部、中国科协、全国学联共同主办的第十七届“挑战杯”全国大学生课外学术科技作品竞赛成绩揭晓，长江大学荣获特等奖1项、二等奖1项、三等奖1项。这是学校首次获得特等奖，创造了自参加“挑战杯”以来的最好成绩，实现了历史性突破！
凝心聚力谋发展  长江大学四届三次教代会召开,http://news.yangtzeu.edu.cn/info/1002/30391.htm,2022-03-26,Yangtze University,Institution,Ningxin Gathering Develop the Third Division of Changjiang University's Third Division Congress held,新闻网讯（记者 康群/文 刘健/摄）凝聚奋进力量，建功伟大时代。3月26日，在春色正浓的好时节，长江大学四届三次教代会在大礼堂隆重召开。近300名代表以高度的事业心和责任感，聚焦学校发展，聚焦“双一流”建设，认真履行职责，积极建言献策。大会绘制了蓝图，明确了目标，提振了士气。大会开出了新气象，汇聚了正能量，展现了新作为。
《中国教育报》头版推介：长江大学紧盯粮食能源做“大文章”,http://news.yangtzeu.edu.cn/info/1002/30367.htm,2022-03-25,Yangtze University,Institution,"""China Education Daily"" front page promotion: Yangtze University keeps paying attention to food and energy to do ""big articles""",新闻网讯（记者 康群）3月25日，《中国教育报》头版显著位置刊发通讯《长江大学紧盯粮食能源做“大文章”———国家战略需求就是攻关指向》。
校友李树光向学校捐赠100万元设立学工奖教金,http://news.yangtzeu.edu.cn/info/1002/30354.htm,2022-03-23,Yangtze University,Institution,Alumni Li Shuguang donated 1 million yuan to the school to set up a prize of teaching and workers,新闻网讯（通讯员 胡薇）3月21日，工商2003级校友李树光向学校捐赠人民币100万元设立“李树光奖教金”，该奖教金主要用于奖励优秀学生工作者。
校党委常委会议专题研究部署思想政治和意识形态工作,http://news.yangtzeu.edu.cn/info/1002/30313.htm,2022-03-17,Yangtze University,Institution,Special research and deployment of ideological and political and ideological work of the Standing Committee of the School Party Committee,新闻网讯（记者 汤慧珍）3月16日上午，学校在6教205会议室召开党委常委会议，专题研究思想政治和意识形态工作。党委书记王建平主持会议并讲话。
